демократизм              ---'        03ИN
сюрреализм               ---'        03ИN
формализм                --'         03ИN
шовинизм                 --'         03ИN
ленинизм                 --'         03ИN
марксизм                 -'          03ИN
марксизм-ленинизм        -'--'       03ИN
остракизм                --'         03ИN
пацифизм                 --'         03ИN
организм                 --'         03ИN
низ                      '           03ИN
вниз                     '           03И?
зимний                   '-          11ИA
синий                    '-          12ИA
на картине               --'-        12ИA
в паутине                --'-        12ИA
красивый                 -'-         13ИA
учтивый                  -'-         13ИA
спесивый                 -'-         13ИA
стыдливый                -'-         13ИA
шаловливый               --'-        13ИA
под оливой               --'-        13И?
дивный                   '-          14ИA
наивный                  -'-         14ИA
архаичный                --'-        15ИA
гармоничный              --'-        15ИA
земляничный              --'-        15ИA
заграничный              --'-        15ИA
поэтичный                --'-        15ИA
яичный                   -'-         15ИA
обычный                  -'-         15ИA
эротичный                --'-        15ИA
безналичный              --'-        15ИA
наличный                 -'-         15ИA
отличный                 -'-         15ИA
приличный                -'-         15ИA
неприличный              --'-        15ИA
преотличный              --'-        15ИA
двуличный                -'-         15ИA
девичник                 -'-         15ИN
слышит                   '-          16ИVН
пишет                    '-          16ИVН
дышит                    '-          16ИVН
на крыше                 -'-         16ИA
открытый                 -'-         17ИAV
забытый                  -'-         17ИAV
сердитый                 -'-         17ИA
маститый                 -'-         17ИA
ядовитый                 --'-        17ИA
даровитый                --'-        17ИA
белыми нитками шитый     '--'--'-    17ИA
подвижный                -'-         18ИA
сибирский                -'-         19ИA
бутырский                -'-         19ИA
классический             -'--        21ИA
оптимистический          ---'--      21ИA
малиновый                -'--        22ИA
стеснительный            -'--        23ИA
стремительный            -'--        23ИA
пронзительный            -'--        23ИA
почтительный             -'--        23ИA
сомнительный             -'--        23ИA
удивительный             --'--       23ИA
изумительный             --'--       23ИA
восхитительный           --'--       23ИA
сообразительный          ---'--      23ИA
умопомрачительный        '---'--     23ИA
значительный             -'--        23ИA
он                       '           01ОN
вон                      '           01О?
стон                     '           01ОN
клен                     '           01ОN
закон                    -'          01ОN
поклон                   -'          01ОN
тех времен               --'         01ОA
вновь                    '           02О?
волнуя кровь             -'-'        02О?V
убил любовь              -'-'        02ОVП
дом                      '           03ОN
гром                     '           03ОN
души надлом              -'-'        03ОN
за углом                 --'         03ОA
тот                      '           04ОA
год                      '           04ОN
народ                    -'          04ОN
встает                   -'          04ОVН
поворот                  --'         04ОN
наоборот                 ---'        04О?
иной                     -'          05ОA
чудной                   -'          05ОA
ночной                   -'          05ОA
дневной                  -'          05ОA
больной                  -'          05ОA
шальной                  -'          05ОA
стальной                 -'          05ОA
смешной                  -'          05ОA
в пивной                 -'          05О?
за стеной                --'         05О?
злой                     '           06ОA
былой                    -'          06ОA
лихой                    -'          07ОA
плохой                   -'          07ОA
глухой                   -'          07ОA
сухой                    -'          07ОA
святой                   -'          08ОA
простой                  -'          08ОA
холостой                 --'         08ОA
золотой                  --'         08ОA
такой                    -'          09ОA
какой                    -'          09ОA
другой                   -'          09ОA
покой                    -'          09ОN
печальный вой            -'-'       010ОN
смертельный бой          -'-'       010ОN
свой                     '          010ОA
живой                    -'         010ОA
мороз                    -'         011ОN
вопрос                   -'         011ОN
его                      -'         012ОA
взвел курок              '-'        013ОVП
срок                     '          013ОN
рок                      '          013ОN
носит                    '-          11ОVН
просит                   '-          11ОVН
город                    '-          12ОN
который                  -'-         12ОA
скорый                   '-          12ОA
вскоре                   '-          12О?
в море                   '-          12ОA
на просторе              --'-        12ОA
с горя                   '-          12О?
ученый                   -'-         13ОAV
студеный                 -'-         13ОA
зеленый                  -'-         13ОA
холеный                  -'-         13ОA
опаленный                --'-        13ОAV
удрученный               --'-        13ОAV
закаленный               --'-        13ОAV
полусонный               --'-        13ОA
изможденный              --'-        13ОA
томный                   '-          14ОA
